timestamp,description,ipaddress,limit6,float,year,money,country,Enum,mailid,bool,longnumber,stockprice,output
15:17:21,recontextualize wireless supply-chains,245.113.108.11,#b2158c,-29.5904737,2011,$0.48 ,Greece,1,mtwinbrowdw@disqus.com,TRUE,3.55E+15,$210.02M,0
11:52:20,enhance visionary architectures,226.217.99.42,#2fc339,45.1589174,2007,$2.27 ,New Zealand,1,ggarmanpa@merriam-webster.com,FALSE,3.59E+15,$276.46M,0
4:38:43,aggregate out-of-the-box web services,130.43.53.76,#f675e2,22.636828,1995,$9.60 ,Indonesia,2,msolleym1@vk.com,TRUE,4.91E+17,$1.97B,0
21:36:21,streamline wireless networks,222.173.206.59,#6323a4,12.3522003,2012,$9.80 ,Ukraine,6,rsimonnot9f@tmall.com,FALSE,3.59E+15,$42.78M,0
20:45:06,monetize efficient paradigms,129.44.79.216,#8b7cf0,-22.6118831,1998,$0.53 ,Indonesia,7,jlynettar@independent.co.uk,FALSE,3.38E+14,$462.86M,0
0:08:29,strategize out-of-the-box communities,177.0.229.57,#4ab637,12.2483626,1993,$4.57 ,China,7,vandrusovax@privacy.gov.au,TRUE,3.56E+15,$172.77M,0
10:30:42,streamline proactive partnerships,99.40.156.158,#7b3897,36.139998,1986,$2.87 ,China,7,srappoportlm@miitbeian.gov.cn,TRUE,3.38E+14,$303.43M,0
5:09:08,recontextualize killer mindshare,98.86.68.99,#187c96,18.50831,1999,$4.72 ,Slovenia,8,lmuddimeras@elpais.com,TRUE,3.56E+15,$43.5M,0
6:10:56,streamline plug-and-play methodologies,47.32.253.142,#0140d3,7.45,1965,$5.24 ,China,8,bcissenrd@marketwatch.com,FALSE,3.57E+15,$2.91M,0
1:14:47,disintermediate leading-edge vortals,227.42.189.163,#ebcf24,58.4981562,1997,$8.88 ,Brazil,11,kcoulinghg@github.com,TRUE,4.50E+12,$1.05B,0
1:01:15,grow customized experiences,48.199.230.150,#d9cf5d,-6.8272662,2006,$0.58 ,Argentina,13,jsheffieldcc@blinklist.com,TRUE,3.55E+15,$462.74M,0
7:29:10,brand plug-and-play content,91.255.244.32,#69338e,54.356424,2000,$4.10 ,United States,14,hmcgeachyhr@jimdo.com,TRUE,3.59E+15,$9.01B,0
4:53:40,enable proactive portals,119.207.158.94,#41b54a,-19.3088778,2003,$8.55 ,Tanzania,15,ajunes49@ibm.com,FALSE,3.06E+13,$22.51M,0
18:11:57,repurpose back-end web-readiness,95.19.45.107,#58fa34,49.8662503,1991,$1.69 ,Philippines,18,vvivyan9o@symantec.com,FALSE,2.01E+14,$1.14B,0
4:36:03,target visionary e-commerce,239.107.221.170,#513789,34.819583,2005,$2.10 ,Portugal,18,ochristola6@gizmodo.com,FALSE,3.54E+15,$433.25M,0
2:14:04,syndicate vertical convergence,221.205.147.4,#49d808,43.6164958,2007,$9.34 ,Poland,18,kswannickms@reddit.com,FALSE,6.33E+17,$150.43M,0
14:08:30,productize web-enabled metrics,153.28.129.88,#c87780,22.816884,2001,$1.05 ,Nigeria,19,cmckain1t@bizjournals.com,FALSE,3.54E+15,$2.58B,0
22:38:22,reintermediate collaborative action-items,250.152.25.194,#6faf76,39.079722,1998,$6.44 ,Ukraine,19,lsenchenkopw@google.com,FALSE,3.59E+15,$2.46B,0
3:17:25,expedite visionary networks,125.94.145.220,#546773,-8.6107179,1997,$3.25 ,China,23,jcasse2u@telegraph.co.uk,TRUE,3.53E+15,$113.53M,0
8:45:47,grow rich partnerships,118.248.140.95,#212b27,-8.3434104,2000,$7.59 ,Japan,24,abolleyg8@google.com,TRUE,3.01E+13,$3.35B,0
13:04:52,incubate end-to-end infrastructures,247.44.112.90,#dcf104,45.6467048,1997,$4.59 ,China,27,wshenleyls@hostgator.com,TRUE,4.91E+15,$2.33B,0
3:15:26,strategize B2C technologies,39.4.243.119,#5bd4bd,-17.0127475,2009,$9.27 ,Czech Republic,29,mrustmanio@linkedin.com,FALSE,5.05E+15,$10.76B,0
2:45:10,monetize efficient relationships,52.215.13.214,#182d67,-5.9946384,2010,$8.27 ,China,29,lkinneirr7@studiopress.com,FALSE,5.05E+15,$737.59M,0
8:16:16,exploit real-time niches,10.0.150.89,#25ed71,46.6211188,2010,$6.86 ,China,30,nvarnamif@netscape.com,TRUE,4.91E+17,$448.4M,0
11:27:19,repurpose compelling relationships,227.43.83.196,#e8092c,-6.2960156,2007,$1.59 ,China,32,mhenstridgek2@printfriendly.com,TRUE,3.72E+14,$55.73B,0
21:39:08,morph customized platforms,117.183.86.43,#a30ba7,11.7701438,1985,$8.84 ,France,37,rdelavaletteparisothp@smugmug.com,FALSE,6.33E+17,$744.13M,0
0:18:28,mesh cross-platform infrastructures,92.187.168.7,#100f2c,-11.1215276,2005,$2.13 ,Paraguay,38,fdemalcharqt@blogger.com,TRUE,4.03E+15,$457.06M,0
9:29:56,unleash leading-edge niches,135.94.137.240,#24a3bb,60.2638215,2011,$9.16 ,Colombia,39,efairfull8w@home.pl,FALSE,3.56E+15,$37.35B,0
22:55:29,incentivize leading-edge applications,126.58.189.180,#52a94d,14.5939093,1986,$9.35 ,China,39,akenwortheybn@a8.net,FALSE,4.04E+15,$534.63M,0
13:05:23,embrace efficient deliverables,60.142.78.93,#756d39,-6.313084,2007,$1.95 ,China,39,agatleyf5@uol.com.br,TRUE,5.54E+15,$96.06B,0
0:27:30,unleash global vortals,44.10.174.235,#c26795,-8.264058,2005,$6.40 ,China,39,lfrickehm@kickstarter.com,TRUE,3.54E+15,$1.38B,0
22:52:21,facilitate customized ROI,165.248.54.27,#f1628e,44.256487,2002,$7.64 ,Indonesia,41,wzaniolo6s@msn.com,FALSE,5.11E+15,$526.1M,0
6:34:10,whiteboard scalable platforms,54.91.1.133,#b943bc,-5.3629365,1996,$4.16 ,Russia,43,sgarrudbb@cornell.edu,FALSE,6.71E+16,$30.59M,0
2:33:41,syndicate web-enabled e-tailers,96.251.15.212,#37fec3,37.6818606,2008,$6.90 ,Myanmar,46,jfollisbg@usda.gov,TRUE,3.54E+15,$3.62B,0
14:41:22,morph leading-edge channels,123.70.135.135,#da5d92,28.590337,1995,$1.73 ,Indonesia,47,dandretticb@amazon.co.uk,FALSE,5.64E+15,$3.18B,0
4:14:44,engineer synergistic markets,183.84.40.195,#cfb2e2,28.109577,2009,$6.21 ,Burkina Faso,48,ksmithin36@mapy.cz,FALSE,6.38E+15,$741.61M,0
16:14:41,strategize best-of-breed e-markets,252.188.149.102,#0df6a4,34.57976,2002,$7.58 ,United States,49,szuanazzi97@myspace.com,FALSE,4.84E+15,$16.59M,0
23:49:02,expedite turn-key infomediaries,23.148.68.211,#a808c3,8.9494875,2011,$2.76 ,Sweden,50,flinese6@blinklist.com,TRUE,6.33E+17,$150.68M,0
3:05:12,disintermediate real-time communities,108.242.198.219,#0622cd,49.6163992,2001,$2.39 ,China,52,wvancastele51@51.la,TRUE,3.55E+15,$858.11M,0
15:23:01,deploy synergistic portals,169.195.69.135,#55dd2e,-27.3777068,1981,$6.13 ,Indonesia,52,vjoerning77@cdbaby.com,TRUE,3.56E+15,$12.76B,0
2:17:09,scale rich platforms,235.164.22.31,#0787d8,48.8540194,1999,$7.69 ,China,53,mclaraekd@cargocollective.com,FALSE,3.03E+13,$8.92B,0
11:00:21,synergize holistic architectures,90.46.37.244,#ba270f,35.293048,1996,$0.46 ,Indonesia,54,zgouthierp3@tinyurl.com,TRUE,3.54E+15,$2.41B,0
6:22:57,integrate innovative systems,68.84.130.146,#1a8023,48.9809916,1993,$8.34 ,China,57,alyteb2@miitbeian.gov.cn,TRUE,5.61E+17,$1.47B,0
0:31:03,envisioneer visionary e-tailers,148.24.212.105,#558410,24.4752847,2012,$3.36 ,Mexico,60,kplace66@1688.com,FALSE,3.58E+15,$3.6B,0
18:21:07,iterate killer e-markets,136.149.189.23,#7e896f,-12.0443399,1992,$9.17 ,Sudan,62,sbardell35@over-blog.com,FALSE,3.56E+15,$754.28M,0
10:45:18,deploy back-end ROI,133.124.235.238,#d5935a,52.675914,2007,$4.10 ,Japan,62,bschumacher9g@themeforest.net,TRUE,6.33E+18,$7.54B,0
22:48:32,empower innovative relationships,46.49.99.89,#e4665d,49.2147869,1995,$4.71 ,Lithuania,63,lskulletf6@uol.com.br,TRUE,3.58E+15,$35.67M,0
8:35:41,innovate sticky paradigms,141.151.165.116,#c96fc5,49.2752229,1996,$3.67 ,China,66,mkamenarhu@weibo.com,TRUE,5.50E+15,$81.48M,0
12:07:20,transform strategic applications,226.169.69.25,#d8acfd,30.975215,2013,$2.21 ,Guatemala,66,lwoodcroftk9@bloglovin.com,FALSE,5.10E+15,$2.09B,0
22:22:08,monetize magnetic bandwidth,165.127.42.151,#e59fd7,50.3616019,2003,$8.94 ,Greece,67,gmirandaiy@japanpost.jp,TRUE,3.57E+15,$628.48M,0
18:14:45,revolutionize world-class eyeballs,220.144.129.2,#3b41d7,32.9566376,1999,$6.62 ,China,69,kwhetsonil@mapy.cz,FALSE,3.58E+15,$1.25B,0
4:01:56,implement value-added vortals,18.148.30.86,#869285,22.483182,2003,$1.46 ,Venezuela,70,lbernhartfe@oracle.com,TRUE,4.65E+12,$878.56M,0
8:48:09,grow mission-critical synergies,18.230.79.233,#152170,16.7157136,2010,$1.90 ,China,71,lumbertkn@scribd.com,FALSE,5.89E+16,$2.2B,0
14:56:01,grow ubiquitous web-readiness,128.90.144.214,#418268,48.3909721,1994,$8.12 ,Russia,72,tfrankemalc@salon.com,TRUE,6.77E+18,$7.84B,0
17:24:50,monetize cross-platform communities,221.250.159.210,#2b2405,-7.2894986,2005,$2.02 ,Thailand,73,malven3z@webmd.com,TRUE,4.18E+15,$491.37M,0
5:39:56,integrate seamless content,13.24.194.205,#329862,35.68206,1994,$4.32 ,Peru,73,cherityg1@domainmarket.com,TRUE,5.60E+16,$28.24M,0
14:10:13,transform innovative solutions,60.82.130.137,#6d621d,39.6288756,2007,$7.33 ,Poland,74,haugustincf@ftc.gov,FALSE,3.58E+15,$173.59M,0
18:41:00,facilitate interactive models,158.241.218.216,#a4a0ed,48.7226206,1994,$3.46 ,Brazil,75,bnockells1i@myspace.com,FALSE,3.53E+15,$1.16B,0
13:46:58,repurpose rich experiences,252.216.205.194,#2727b0,14.5144041,1998,$5.22 ,Philippines,79,oburbankdb@ifeng.com,FALSE,6.05E+17,$35.47M,0
8:33:35,mesh ubiquitous networks,140.97.97.108,#6f37a5,-2.2728607,2003,$0.82 ,Tanzania,82,gmcilwreath7o@washington.edu,FALSE,3.57E+15,$255.93M,0
12:08:23,synthesize distributed e-tailers,62.46.119.203,#c2bed2,44.0570174,1993,$4.46 ,Russia,82,mstreatfeildqz@usnews.com,TRUE,3.54E+15,$63.58M,0
22:05:10,disintermediate clicks-and-mortar applications,199.202.26.241,#88e324,52.86917,1998,$1.70 ,Greece,83,mkentishp2@mashable.com,TRUE,4.88E+12,$33.04M,0
19:54:01,reintermediate innovative partnerships,137.124.168.50,#d4f754,46.718237,1965,$4.43 ,Iran,84,chewellk8@cpanel.net,FALSE,5.39E+15,$61.92B,0
8:11:48,architect intuitive action-items,144.169.83.113,#d1c4bd,59.3475695,2000,$2.99 ,Russia,86,ahartnellol@va.gov,TRUE,3.74E+14,$5.65B,0
13:02:13,implement intuitive paradigms,105.11.201.126,#19ed8c,-6.7273278,2010,$9.51 ,Peru,88,kbynold6w@howstuffworks.com,TRUE,3.53E+15,$2.86B,0
12:46:41,unleash proactive vortals,30.56.71.25,#bcb971,9.9576111,2012,$4.11 ,China,88,fannetts9d@seattletimes.com,FALSE,3.42E+14,$1.07B,0
16:03:34,grow end-to-end partnerships,15.132.207.94,#63fcfb,30.548268,2009,$9.22 ,Marshall Islands,89,mhyltonnn@linkedin.com,TRUE,3.72E+14,$4.88B,0
5:02:47,visualize ubiquitous technologies,175.242.1.20,#a07910,-6.4931733,1981,$10.00 ,Sweden,89,dsignorira@devhub.com,TRUE,3.54E+15,$6.78B,0
6:25:29,drive enterprise mindshare,243.143.212.180,#f86bb8,-5.9341855,2008,$8.13 ,Poland,93,mskynnerey@blogger.com,TRUE,6.71E+18,$1.76B,0
19:36:59,benchmark bricks-and-clicks portals,164.29.147.165,#d20c61,48.9003986,2009,$4.96 ,Philippines,93,fharphamjt@globo.com,TRUE,3.56E+15,$186.89M,0
4:00:38,monetize front-end e-business,246.14.221.46,#22ccc4,7.998611,2010,$8.48 ,Peru,93,denzleypr@usatoday.com,TRUE,3.58E+15,$2.59B,0
